"Date","Tickers"
"2015-11-19","GOLD AU PBSV AEM BP CNP UVE ATW COP BAC HABT AZN PLUG VIPS WMT EVSBY FDX XOM MSFT DAL BEAV AMGN CVEO CYBR TSLA CPG CLR AAPL BSQR SALM CSIQ SOUHY SBUX TAHO PE BRCD VSLR MGIC BBY OSTK CRM F SUNEQ GME SMMT AIG FAST IBKR IBM FCX QIWI AL TGT CTRP ETP P KORS LL EVRI AGCO WING KSU JSTLF BTG ROK PWE AXAS TSL"
"2015-11-18","BRSS CHK SBR LNG VRX RKDA FNLPF BUFF TSEM QCOM F BALMF CAR WWD RXDX TGLS FNJN EWPMF P RACE ZINCQ IHG CFG SAFM YGYI SCMR TCPTF CBK AER FMC EA LOW AAPL TWTR GOOG GOOGL CHL CAHPF LABL TWX TCS BLUSF AMZN SNAK GTDNF ICPW LIND S ESNC MOV DYAX WMT IMH AKS PCO ANAD LGF GLBL"
"2008-11-15","SQM"
"2008-11-14","CPA ANW ANIP AMZN AAPL GOOG LCAV TLCVF GE UTI WMT"
"2008-11-13","BBY WMT EBS QCOM SPSN AVGO LVLT AKAM LLNW GE PEY PFM PID INTC EEV COF PFG AUY MTW MET PRU WFC CAT KBR KMB AFAM FLO KHDHF HPQ SPLS TRIDQ MFGLQ DBC GCC DJP CAG CHIC CROX GDEN"
"2008-11-12","RJETQ RYAAY LUV SPY ADM KG VNQ RWR FRI GEOY RDN BNI HPQ IBM FMCC FNMA UPS FDX EPD NAT EMR PG EDU STRA NED FMMH RRM OMRI CRNT"
"2008-11-11","HQSM EWJ DFJ PEY DIA SPY QQQ JO UAUA UAL GM F DDAIF APA GS SBUX PWRD ENER AHCHF CWYCF YZC CAT FDO GT ZOLT FSLR THC ACN ADCT ARW PACR MDP ROK GOOG ATVI ARQL SSO UYG URE BBY CCTYQ"
"2008-11-10","HK PFE AIG WFC GEOY UUP UDN AAPL BBRY GOOG COSWF HGT SJT RIGL ROSG PARD TEVA EWZ BZF ECH EQ NRGP CNB SPWR SBGSF AEIS RSX IEO IXC"
"2015-11-11","MSFT BBRY OSTK ATVI DIS TJX RCL NBIX IONS SMCI IMH CRWS AMZN BABA HAL PM RIO BCPC SCTY TAT PCCWY RGLD WWAV GROW FIG IRBT TSO KORS LPX Z ZG NOV NVDA AMWD ALGT AIG NEWR DNKN BTUUQ RPXC BBSI SPWR ORCL GOOG GOOGL TSLA VRX AAPL MCK RAIL ATW EGY MEIP TWX ANFI PBHC XOM MCD CLF KGC VIA ICON EADSF LMT CMG"
"2015-11-10","AAPL COF RICE TEU XOM JBLU TRIP NKE KORS BBRY MA NMKTF TERP TLYS ANCB JWA RAX TNK AGO MU WMT AXTI NVDA TMUS BYDDY BYDDF SWKS GILD ACLS APOG MCK LULU FB SNE QCOM AMCX CTL ETP ETE EXP MNDO ALE ABBV REX WYNN GBL LONE CHRW HE RUN SCTY FMCC FNMA GWLLF GWLLY WFM ALIM DIS FDX PPP OAK OSTK SBAC CRTO COST SYF NESRF HRG FGL STOSF SSLTY"
"2015-11-13","XPLR YHOO TNXP ZNGA ARMH SIRI SAFM OMER INTC SERV SALE AAPL MYL CSIQ EXXIQ TSLA FIT QUTIF WINT NFLX VOD DRII HP MNKD SBUX OSHC KLDX AMZN ETSY CMLS TOWR AES FUR ALNY HAIN NCR BOFI TRUP PLKI MARA LULU NWL"
"2015-11-12","SAND FNV EVDY NUE BDE SPWR CVX CHK IGXT BIDU BABA JD CHTR CPS WLL AMNL BEAT AAPL COP RLOG NMUS GRUB RUTH LXFT ANGI IAC BBRY KNDI ETSY SEAS ARAY CBI MSCC GLUU GXOCF RST ATW BGG PII FOX FOXA ASTE KSS AKS GILD PDCE GNFTF AVAV CYBR SUNEQ AVA RH FSM F NKE PBPB CBM GT WHR"
"2015-11-15","RUN NVDA GOOG GOOGL SSYS OXY FDX M AMCX FB DIS KORS IAG CLF EOG CNL DFIHY KSS WMT SCOR"
"2015-11-14","BCRH CREE CXRX RUN TSLA ORBK GDEN BCOR AAPL DAVE ATEN HBM"
"2015-11-17","LC NTES CMT V LUV SBGL SBGLF FEYE CLR CPG CYNA FUN GLMD ZSPH RLYP LNG WR XOM NKE BHP AKG HD LB WYY CVS M CTL CNRD TTI AMD SEMFF MRK SBUX PCL QCOM GSL CHK WFC RHT CTXS WWE PYPL CBI CIB AER SKYW TASR ABX AXAS SPHS INXN FOE JWN DF TTMI FTK VRSK AVH T CMCSA BBY CMI HON PNR HBI STMP H"
"2015-11-16","INTC AETUF ABCW WMT VA CMCSA NFLX ETH NOK ZNGA GTE IAG IMOS HPQ HPE CYRN FLOW EE WCN RLYP POT ATVI SKX PTAXF COP NNBR DYN SMID HYH CAB EAT PTRDF TETHF SHAK APA ROL FL AMZN OMF CTCM ETSY LUK GPRO ANSS JNJ AG KORS GBERY JWN GILD AAPL UQM CASC BABA NVO KOPN HSY FIT AAL BTUUQ JCP AVXL RAVE YHOO JCOM EDVMF MNDJF P FB BNCC DLTR SLB LINEQ VITFF KS MU FOSL OCAT BMRN DNGDF MNST LAD TXT BKH BBRY WYNN KSS AAUKF RL COH AGU CMG PNRA GOLD AMTX"
"2010-02-17","WFM LB WSM S LSIOLD TMUS GLD SLV DBB BBEPQ MEND BOFI LF ABX ASA SLW TEVA EDU RIG NE ADX SPY PEO GOOG RNWK TSN AUDC WLT CHUX SCSS HPQ UL EL CSCO PDLI VGR CHKE IBM"
"2009-10-08","PEP MON DNB MCO SPGI LUB PPHM CVM WTW PHO PIO CGW RVSN ALA SNE STEC IBM DVMT CBPO GOOG TBUS AMX BZF UDN DIA SPY QQQ DBC GAZ OIL SOMMF SMFJY NELTY GLD UUP"
